Alignments,CONGOPHILLIPSORUM_FMNH177682,CROBATAKORUM_KU165320,CROGOLIATH_FMNH167692,CROHORSEFIELDII_NK10645,CROPALAWANENSIS_FMNH195224,CROSIBERICA_TK146501,Crocidura_LSUMZ39271,Crocidura_LSUMZ39281,Crocidura_LSUMZ39283,Crocidura_australis_Bawakaraeng_MVZ237610_NMV_Z57224,Crocidura_australis_Bawakaraeng_MZB40991_NMV_Z57198,Crocidura_australis_Bawakaraeng_NMV_Z57223_KCR2954,Crocidura_balete_Buliohuto_LSUMZ38264,Crocidura_balete_Dako_LSUMZ36946,Crocidura_balete_Dako_LSUMZ36951,Crocidura_brevicauda_Latimojong_MVZ237616,Crocidura_brevicauda_MVZ237632,Crocidura_brevicauda_MVZ237633,Crocidura_caudicrassa_Gandangdewata_MZB34793_NMV_Z21753,Crocidura_caudicrassa_Gandangdewata_MZB34804_NMV_Z21835,Crocidura_caudipilosa_Bawakaraeng_NMV_Z57044_KCR2849,Crocidura_caudipilosa_Buliohuto_LSUMZ38289,Crocidura_caudipilosa_Katopasa_MZB39871_NMV_Z62416,Crocidura_caudipilosa_Rorekatimbo_FMNH213246,Crocidura_elongata_Ambang_LSUMZ39014,Crocidura_elongata_Ambang_LSUMZ39016,Crocidura_elongata_Buliohuto_LSUMZ38252,Crocidura_elongata_Buliohuto_LSUMZ38253,Crocidura_elongata_Dako_LSUMZ36906,Crocidura_elongata_Dako_LSUMZ36907,Crocidura_elongata_Temboan_PARATYPE_USNM217535,Crocidura_lea_Buliohuto_LSUMZ38254,Crocidura_lea_Dako_LSUMZ36949,Crocidura_lea_Temboan_HOLOTYPE_USNM217553,Crocidura_levicula_Rorekatimbo_FMNH213271,Crocidura_levicula_Tompotika_FMNH213346,Crocidura_levicula_Tompotika_FMNH213357,Crocidura_levicula_Torompupu_LSUMZ39446,Crocidura_mediocra_Balease_FMNH210569,Crocidura_mediocra_MVZ238110,Crocidura_mediocra_Mekongga_MWFB8134,Crocidura_mediocra_SaluTiwo_FMNH218615,Crocidura_microelongata_Gandangdewata_FMNH218546,Crocidura_microelongata_Gandangdewata_MZB38473_FMNH218971,Crocidura_microelongata_Latimojong_FMNH212990,Crocidura_microelongata_Latimojong_FMNH213005,Crocidura_microelongata_Rorekatimbo_FMNH213158,Crocidura_musseri_Rorekatimbo_FMNH213253,Crocidura_musseri_Rorekatimbo_FMNH213263,Crocidura_nigripes_Buliohuto_LSUMZ38292,Crocidura_nigripes_LSUMZ39278,Crocidura_nigripes_LSUMZ39279,Crocidura_nigripes_SaluTiwo_FMNH218704,Crocidura_normalis_Gandangdewata_FMNH218607,Crocidura_normalis_Katopasa_NMV_Z61813_KCR3108,Crocidura_normalis_Latimojong_FMNH213011,Crocidura_normalis_Mekongga_MWFB8151,Crocidura_normalis_Mekongga_MWFB8154,Crocidura_normalis_Rorekatimbo_FMNH213184,Crocidura_ordinarius_Gandangdewata_FMNH218726,Crocidura_ordinarius_Gandangdewata_MZB34871_NMV_Z21825,Crocidura_ordinarius_Torompupu_NMV_Z62193_KCR3349,Crocidura_pallida_Balease_FMNH210580,Crocidura_pallida_Balease_FMNH210608,Crocidura_pallida_Gandangdewata_FMNH218989,Crocidura_pallida_Katopasa_NMV_Z62395_KCR3147,Crocidura_pallida_Mekongga_MWFB8059,Crocidura_pallida_Tompotika_FMNH213366,Crocidura_parva_Bawakaraeng_MVZ237603_NMV_Z56998,Crocidura_parva_Bawakaraeng_NMV_Z56314_HH925,Crocidura_parva_Bawakaraeng_NMV_Z56319_HH930,Crocidura_pseudorhoditis_Ambang_LSUMZ39031,Crocidura_pseudorhoditis_Ambang_LSUMZ39311,Crocidura_pseudorhoditis_Buliohuto_LSUMZ38284,Crocidura_pseudorhoditis_Dako_LSUMZ36980,Crocidura_quasielongata_Balease_FMNH210546,Crocidura_quasielongata_Balease_FMNH210559,Crocidura_quasielongata_Dako_LSUMZ36937,Crocidura_quasielongata_Katopasa_NMV_Z61792_KCR3120,Crocidura_quasielongata_Mekongga_MWFB8130,Crocidura_quasielongata_Tompotika_FMNH213341,Crocidura_quasielongata_Torompupu_MVZ238107_NMV_Z63366,Crocidura_quasielongata_Torompupu_NMV_Z61984_KCR3276,Crocidura_rhoditis_Ambang_LSUMZ39038,Crocidura_rhoditis_Ambang_LSUMZ39050,Crocidura_rhoditis_Temboan_PARATYPE_FMNH43858,Crocidura_rhoditis_Temboan_PARATYPE_USNM217552,Crocidura_rhoditis_Temboan_PARATYPE_USNM217554,Crocidura_solita_Gandangdewata_FMNH218770,Crocidura_solita_Gandangdewata_FMNH218776,Crocidura_solita_Gandangdewata_NMV_Z21981_KCR1552,Crocidura_solita_Latimojong_FMNH213015,Crocidura_solita_Latimojong_FMNH213064,Crocidura_solita_Rorekatimbo_FMNH213202,Crocidura_tenebrae_Ambang_LSUMZ39025,Crocidura_tenebrae_Ambang_LSUMZ39273,DIPLOPULCHELLUM_MVZ179157,MYOGEATA_FMNH158299,PALAWANMUSCORUM_DSB4854,PARACROSCHOUTEDENI_FMNH167721,SCUTITHORI_FMNH219669,SUNCUSMURINUS_KU164724
uce-7281,true,true,true,true,false,true,true,true,true,false,false,false,true,false,false,false,false,false,true,true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,true,false,true,false,true,true,false,true,false,true,true,false
uce-7282,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
uce-7283,true,true,false,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true
uce-7284,false,true,true,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false,true
uce-7286,true,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true
uce-7287,false,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true
uce-7288,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,true,true,false,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true
uce-7289,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,false,true,false,true,false,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true
uce-7291,true,false,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true
uce-7292,true,true,true,true,false,true,true,true,true,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,true,false,true,false,false,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,false,true,true,true,false,true
uce-7294,true,false,true,false,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,true,false,true,true,false,false,true,true,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true
uce-7295,true,false,true,false,false,false,false,true,false,false,false,true,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,false,false,false,true,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,true,true,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true
uce-7296,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,true,true,true,false
uce-7297,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true,false,false,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
uce-7298,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
uce-7299,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,true,true,true
uce-7303,false,false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,true,true,true
uce-7304,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,true,false,true,true,true,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
uce-7305,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
uce-7308,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
uce-7310,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,false,true,false,false,false,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true
uce-7311,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false,true,false,false,false,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,false,false,false,false,false,true,false,true,false,false,false,false
uce-7313,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,false,true,false,true,true,true
uce-7314,false,true,true,true,false,false,true,true,false,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,false,true,false,true,true,false,false,false,true,true,true,true,false,false,true,true,true,false,false,true,false,true,true,true,false,false,true,false,false,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,true,false,false,true,true,true,true
uce-7316,true,true,true,true,false,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,false,true,false,true,false,true
uce-7317,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
uce-7318,true,false,false,false,false,false,true,true,false,false,false,false,true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,true
uce-7319,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,true,false,true,false,false,true,false,false,true,true,true,true,false,true,false,false,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,false,true,true,true
uce-7320,true,true,true,false,false,true,false,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,false,false,true
uce-7324,true,true,true,false,false,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,false,true,false,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true
uce-7325,true,true,true,true,false,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,false,false,true,false,false,false,true,false,true,false,true,true,true,false,false,false,true,false,true,false,false,true,false,true,true,false,true,true,true,true,true,false,true,false,true,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,true,true,false,true,false,false,false,false
uce-7329,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,false,true
uce-7330,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,true
uce-7336,true,false,false,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,false,false,true,false,true,false,true,false,true,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,true,false,false,true,false,true,true,false
uce-7340,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true
uce-7342,false,false,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,true,false,false,true,false,true,true,false,true,true,false,true,true,false,false,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true
uce-7344,true,true,true,true,false,false,false,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
uce-7345,true,true,true,false,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,true,false,true,false,false,true,true,true,false,false,false,false,true,true,false,true,false,false,true,true,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,true,true,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,true,true
uce-7347,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
uce-7348,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,false,true,false,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true
uce-7349,true,false,true,true,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
uce-7350,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false
uce-7351,true,true,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,false,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,false,true,true,false,true,true,true,false,false,false,false,true,true,false,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,true,false,false,true,false,true,true,true,false,false,false,true,false,true
uce-7352,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
uce-7357,false,true,true,true,true,true,true,true,false,false,false,true,false,false,false,true,true,false,true,false,false,false,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,true,false,false,false,true,true,true
uce-7361,true,false,true,false,false,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true
uce-7362,true,true,true,true,false,true,true,true,true,false,false,false,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,false,false,false,true
uce-7363,true,true,false,false,true,true,false,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true
uce-7364,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true
uce-7365,true,true,false,true,false,true,true,true,false,false,false,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,false,false,false,true,true,false,false,false,true,true,false,true,true,false,false,false,true
uce-7368,false,true,true,true,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,true,false,true,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,true,false,false,true,true
uce-7369,true,false,false,true,true,true,false,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false,true,true,true
uce-7370,false,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true
uce-7371,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true
